n_it,design,vsr,timeTrend,useLogReg,modelTT,maxN,burnin,interimfrequency,blockcontrol,threshold0,activetowin,futility,armDropFixed,spendingFunParam
10000,rar,null,flat,TRUE,TRUE,240,48,24,8,0.0833333,FALSE,FALSE,FALSE,-0.5
10000,rar,nugget,flat,TRUE,TRUE,240,48,24,8,0.0833333,FALSE,FALSE,FALSE,-0.5
10000,rar,mixed,flat,TRUE,TRUE,240,48,24,8,0.0833333,FALSE,FALSE,FALSE,-0.5
10000,rar,twolow,flat,TRUE,TRUE,240,48,24,8,0.0833333,FALSE,FALSE,FALSE,-0.5
10000,rar,twohigh,flat,TRUE,TRUE,240,48,24,8,0.0833333,FALSE,FALSE,FALSE,-0.5
10000,rar,threemixed,flat,TRUE,TRUE,240,48,24,8,0.0833333,FALSE,FALSE,FALSE,-0.5
10000,fixed,null,flat,TRUE,TRUE,240,48,24,8,0.0833333,FALSE,FALSE,FALSE,-0.5
10000,fixed,nugget,flat,TRUE,TRUE,240,48,24,8,0.0833333,FALSE,FALSE,FALSE,-0.5
10000,fixed,mixed,flat,TRUE,TRUE,240,48,24,8,0.0833333,FALSE,FALSE,FALSE,-0.5
10000,fixed,twolow,flat,TRUE,TRUE,240,48,24,8,0.0833333,FALSE,FALSE,FALSE,-0.5
10000,fixed,twohigh,flat,TRUE,TRUE,240,48,24,8,0.0833333,FALSE,FALSE,FALSE,-0.5
10000,fixed,threemixed,flat,TRUE,TRUE,240,48,24,8,0.0833333,FALSE,FALSE,FALSE,-0.5
10000,armdropmax,null,flat,TRUE,TRUE,240,48,24,8,0.0833333,TRUE,FALSE,FALSE,-0.5
10000,armdropmax,nugget,flat,TRUE,TRUE,240,48,24,8,0.0833333,TRUE,FALSE,FALSE,-0.5
10000,armdropmax,mixed,flat,TRUE,TRUE,240,48,24,8,0.0833333,TRUE,FALSE,FALSE,-0.5
10000,armdropmax,twolow,flat,TRUE,TRUE,240,48,24,8,0.0833333,TRUE,FALSE,FALSE,-0.5
10000,armdropmax,twohigh,flat,TRUE,TRUE,240,48,24,8,0.0833333,TRUE,FALSE,FALSE,-0.5
10000,armdropmax,threemixed,flat,TRUE,TRUE,240,48,24,8,0.0833333,TRUE,FALSE,FALSE,-0.5
10000,armdroppbo,null,flat,TRUE,TRUE,240,48,24,8,0.0833333,TRUE,FALSE,FALSE,-0.5
